City;State;Median Age;Male Population;Female Population;Total Population;Number of Veterans;Foreign-born;Average Household Size;State Code;Race;Count
Plantation;Florida;40.6;42881;49674;92555;4037;27902;2.73;FL;White;66970
Lakewood;California;39.9;41523;40069;81592;4094;18274;3.13;CA;Asian;18999
Los Angeles;California;35.0;1958998;2012898;3971896;85417;1485425;2.86;CA;American Indian and Alaska Native;63758
Cicero;Illinois;28.5;43153;40714;83867;629;33801;3.89;IL;White;30824
Palm Bay;Florida;40.7;51767;56128;107895;10942;12070;2.82;FL;American Indian and Alaska Native;1603
Pleasanton;California;41.3;36662;42857;79519;2424;23208;2.87;CA;White;49934
Elgin;Illinois;35.7;54852;56224;111076;4024;30167;2.97;IL;Black or African-American;7528
Brockton;Massachusetts;35.2;46273;49041;95314;3036;27313;2.88;MA;Asian;2528
East Orange;New Jersey;35.5;29995;34967;64962;1870;15164;2.85;NJ;American Indian and Alaska Native;535
Syracuse;New York;30.3;69462;74690;144152;5845;17733;2.39;NY;Black or African-American;46026
Sioux Falls;South Dakota;34.6;86596;84934;171530;8658;12934;2.38;SD;Hispanic or Latino;9388
Fort Collins;Colorado;29.6;80893;80288;161181;8425;9704;2.45;CO;Black or African-American;3176
Grand Rapids;Michigan;32.1;95669;99430;195099;8972;19176;2.56;MI;Black or African-American;42256
Lawrence;Kansas;27.4;45592;48324;93916;2986;8701;2.53;KS;American Indian and Alaska Native;4239
El Cajon;California;32.7;54450;49238;103688;7103;31865;3.14;CA;White;84703
McAllen;Texas;32.3;68332;71921;140253;4356;37691;3.19;TX;White;107763
Baldwin Park;California;35.8;38747;38309;77056;780;34322;4.13;CA;White;36890
Midland;Texas;32.1;66595;66355;132950;5753;17061;2.78;TX;Asian;3279
Orlando;Florida;33.1;130940;139977;270917;12782;50558;2.42;FL;Black or African-American;68081
Pasco;Washington;28.6;35298;32799;68097;2052;16265;3.45;WA;American Indian and Alaska Native;1054
Allen;Texas;37.2;51324;46814;98138;3505;19649;3.04;TX;White;69840
Albany;Georgia;33.3;31695;39414;71109;5409;861;2.38;GA;Black or African-American;53440
Maple Grove;Minnesota;38.6;31780;36601;68381;2943;7645;2.64;MN;Asian;6088
Lake Charles;Louisiana;31.8;35678;40388;76066;4477;3215;2.36;LA;Asian;1444
Clifton;New Jersey;38.5;41932;44409;86341;2603;27979;3.11;NJ;Asian;5840
Guaynabo;Puerto Rico;42.2;33066;37426;70492;;;;PR;American Indian and Alaska Native;589
Westland;Michigan;39.9;37742;44253;81995;4756;6429;2.41;MI;Hispanic or Latino;2827
Plymouth;Minnesota;38.4;39035;36893;75928;4158;8830;2.46;MN;White;63872
Livermore;California;36.7;41522;46595;88117;3063;13959;2.91;CA;White;73440
Waldorf;Maryland;33.6;35640;39872;75512;6932;5954;2.69;MD;White;26788
Mobile;Alabama;38.0;91275;103030;194305;11939;7234;2.4;AL;American Indian and Alaska Native;2816
Milpitas;California;36.8;40098;37519;77617;1608;39436;3.32;CA;Black or African-American;2914
Lawton;Oklahoma;31.1;51099;45560;96659;11572;6123;2.72;OK;White;63948
League City;Texas;35.9;49354;48996;98350;6484;8361;2.72;TX;White;86012
Memphis;Tennessee;34.1;312237;343523;655760;31189;43318;2.55;TN;Black or African-American;420983
San Diego;California;34.5;693826;701081;1394907;92489;373842;2.73;CA;Black or African-American;111650
Tucson;Arizona;33.6;264893;266781;531674;38182;82220;2.45;AZ;Hispanic or Latino;231025
Providence;Rhode Island;29.9;89090;90114;179204;4933;53532;2.72;RI;Hispanic or Latino;77968
Kalamazoo;Michigan;26.4;37175;38865;76040;3048;3482;2.36;MI;American Indian and Alaska Native;954
Houston;Texas;32.6;1149686;1148942;2298628;71898;696210;2.66;TX;White;1386389
Fort Lauderdale;Florida;42.8;93948;84639;178587;8897;47582;2.38;FL;Hispanic or Latino;28148
Indio;California;35.9;43803;43723;87526;3647;22538;3.08;CA;Hispanic or Latino;58852
Concord;California;39.6;62310;66358;128668;6287;37428;2.72;CA;Hispanic or Latino;41400
South Jordan;Utah;33.8;33669;32970;66639;2595;6142;3.61;UT;Asian;2487
Indio;California;35.9;43803;43723;87526;3647;22538;3.08;CA;American Indian and Alaska Native;1112
Gaithersburg;Maryland;35.7;32211;35234;67445;2126;28133;2.73;MD;Hispanic or Latino;18721
Ontario;California;31.0;85059;86141;171200;4816;48557;3.52;CA;American Indian and Alaska Native;4304
Lewisville;Texas;31.6;52776;52032;104808;4211;24865;2.78;TX;Asian;12412
Columbus;Georgia;33.7;98785;101794;200579;21747;10376;2.62;GA;American Indian and Alaska Native;1343
Columbus;Georgia;33.7;98785;101794;200579;21747;10376;2.62;GA;Asian;7039
Charlotte;North Carolina;34.3;396646;430475;827121;36046;128897;2.52;NC;Asian;55399
Huntington Beach;California;41.6;99967;101960;201927;10454;35368;2.67;CA;Black or African-American;4027
New Orleans;Louisiana;35.9;185736;203881;389617;17388;21679;2.41;LA;Asian;13349
Buena Park;California;35.7;41593;41671;83264;3116;28430;3.55;CA;White;48412
Hartford;Connecticut;31.0;58042;65972;124014;3130;28467;2.59;CT;White;46529
Kansas City;Kansas;33.4;74606;76655;151261;8139;25507;2.71;KS;American Indian and Alaska Native;2749
Everett;Washington;37.0;56212;51800;108012;7880;19499;2.36;WA;American Indian and Alaska Native;3645
Jacksonville;North Carolina;24.2;40015;27348;67363;8252;3732;2.51;NC;American Indian and Alaska Native;1741
Alexandria;Virginia;36.6;74989;78522;153511;10635;44030;2.2;VA;Asian;13315
Newark;New Jersey;34.6;138040;143873;281913;5829;86253;2.73;NJ;Black or African-American;144961
Spring Hill;Florida;45.1;48295;54902;103197;9737;7893;2.58;FL;Asian;2409
Topeka;Kansas;37.1;60879;66378;127257;9608;6711;2.32;KS;Asian;3127
Chino Hills;California;41.9;39639;38674;78313;3358;24764;3.05;CA;Black or African-American;3506
Lexington-Fayette  county;Kentucky;34.4;154032;160456;314488;16661;28613;2.34;KY;Black or African-American;51493
Saint Louis;Missouri;35.0;153026;162659;315685;17060;21802;2.16;MO;American Indian and Alaska Native;2746
Chino Hills;California;41.9;39639;38674;78313;3358;24764;3.05;CA;American Indian and Alaska Native;1773
Shreveport;Louisiana;35.2;93138;103856;196994;14287;5658;2.53;LA;White;79319
Trenton;New Jersey;33.3;42581;41650;84231;2604;20428;3.04;NJ;White;37683
North Las Vegas;Nevada;32.2;116350;118443;234793;17256;49815;3.31;NV;Asian;20273
Gary;Indiana;38.1;35876;41478;77354;3952;1884;2.35;IN;Black or African-American;61416
Tyler;Texas;33.9;50422;53283;103705;4813;8225;2.59;TX;Asian;2543
Avondale;Arizona;29.1;38712;41971;80683;4815;8355;3.18;AZ;White;62176
Stamford;Connecticut;35.4;64941;63936;128877;2269;44003;2.7;CT;American Indian and Alaska Native;1416
Flower Mound;Texas;40.2;35200;35824;71024;4217;6860;3.01;TX;Asian;6577
San Mateo;California;39.3;50966;52558;103524;2730;34957;2.64;CA;Asian;30573
Mount Pleasant;South Carolina;42.7;39429;41880;81309;3981;4701;2.53;SC;White;75908
Odessa;Texas;31.2;61119;57861;118980;5509;15845;2.92;TX;Asian;2252
Longmont;Colorado;36.8;43941;48280;92221;4925;10424;2.63;CO;Hispanic or Latino;24846
Newton;Massachusetts;42.3;41985;46824;88809;1814;21692;2.71;MA;American Indian and Alaska Native;244
Wilmington;North Carolina;35.5;52346;63601;115947;5908;7401;2.24;NC;White;89270
Miami;Florida;40.4;215840;225149;440989;7233;260789;2.5;FL;Hispanic or Latino;319942
Glendale;California;42.1;98181;102844;201025;4448;111510;2.69;CA;American Indian and Alaska Native;474
Carlsbad;California;42.1;55119;58347;113466;6031;17689;2.68;CA;Hispanic or Latino;12969
Green Bay;Wisconsin;32.9;52517;52704;105221;5519;9813;2.37;WI;Hispanic or Latino;16786
Baltimore;Maryland;34.7;294027;327822;621849;29540;49857;2.51;MD;American Indian and Alaska Native;7730
Scottsdale;Arizona;46.9;115712;121132;236844;16798;27207;2.17;AZ;American Indian and Alaska Native;7003
Evansville;Indiana;38.0;57198;60481;117679;9063;3169;2.25;IN;Hispanic or Latino;3263
Ann Arbor;Michigan;28.1;58789;58281;117070;3614;20717;2.17;MI;Black or African-American;9577
Clifton;New Jersey;38.5;41932;44409;86341;2603;27979;3.11;NJ;American Indian and Alaska Native;2417
Murfreesboro;Tennessee;30.2;60704;65417;126121;5199;8948;2.6;TN;Black or African-American;22651
Centreville;Virginia;36.0;34749;37033;71782;3779;27797;2.97;VA;White;39129
Lowell;Massachusetts;33.4;54422;56298;110720;3764;33414;2.8;MA;White;68838
Milpitas;California;36.8;40098;37519;77617;1608;39436;3.32;CA;Hispanic or Latino;11815
Oshkosh;Wisconsin;33.0;32905;33652;66557;3809;2348;2.3;WI;Black or African-American;2778
Rio Rancho;New Mexico;38.3;47251;46904;94155;8527;5200;2.86;NM;Hispanic or Latino;38674
Santa Monica;California;40.6;46732;46487;93219;2008;24448;2.0;CA;Asian;13283
Silver Spring;Maryland;33.8;40601;41862;82463;1562;30908;2.6;MD;American Indian and Alaska Native;1084
Brentwood;New York;34.2;31395;32397;63792;1492;27058;4.98;NY;Black or African-American;8619
Eau Claire;Wisconsin;32.0;32327;35106;67433;3261;2833;2.4;WI;American Indian and Alaska Native;876
Salinas;California;30.4;77765;79621;157386;4020;58693;3.72;CA;Hispanic or Latino;121196
Portland;Oregon;36.7;313516;318671;632187;29940;86041;2.43;OR;Asian;64386
Schaumburg;Illinois;36.9;35971;39840;75811;2019;24614;2.72;IL;Asian;21571
Salinas;California;30.4;77765;79621;157386;4020;58693;3.72;CA;American Indian and Alaska Native;2855
Concord;North Carolina;35.7;42732;44961;87693;4621;8847;2.72;NC;White;60500
Brooklyn Park;Minnesota;35.1;37845;41305;79150;3506;17490;2.85;MN;Black or African-American;22550
Garden Grove;California;37.8;86779;88605;175384;4316;80677;3.66;CA;Black or African-American;1840
Abilene;Texas;31.3;65212;60664;125876;9367;8129;2.64;TX;Asian;2929
Fort Wayne;Indiana;34.7;124815;133329;258144;13539;19146;2.45;IN;Hispanic or Latino;21234
Baton Rouge;Louisiana;31.2;111492;117104;228596;10633;12268;2.52;LA;Asian;7442
Warwick;Rhode Island;42.6;39289;42409;81698;5799;5318;2.4;RI;White;76999
Suffolk;Virginia;38.2;43048;45113;88161;10114;2829;2.72;VA;American Indian and Alaska Native;504
Apple Valley;California;34.3;32873;39312;72185;5714;5801;3.03;CA;American Indian and Alaska Native;1446
Spokane;Washington;36.6;102756;110511;213267;18044;13253;2.34;WA;American Indian and Alaska Native;7192
Dallas;Texas;32.6;639019;661063;1300082;41026;326825;2.59;TX;White;839169
Milwaukee;Wisconsin;31.6;286315;313839;600154;20615;58321;2.51;WI;Asian;24832
Rockville;Maryland;38.1;31205;35793;66998;1990;25047;2.6;MD;Hispanic or Latino;9197
San Antonio;Texas;33.1;721405;748419;1469824;109089;208046;2.93;TX;American Indian and Alaska Native;20752
Brownsville;Texas;30.6;87689;96199;183888;4211;53301;3.48;TX;Black or African-American;1239
Norman;Oklahoma;30.9;59483;60814;120297;5578;8705;2.47;OK;Hispanic or Latino;11732
Bloomington;Indiana;23.5;40588;43227;83815;2368;10033;2.33;IN;Black or African-American;5133
Asheville;North Carolina;37.9;42100;46407;88507;4973;6630;2.18;NC;Asian;1939
Fishers;Indiana;34.5;42161;43910;86071;2469;6138;2.8;IN;Black or African-American;6873
Clovis;California;37.8;52392;51780;104172;6173;13409;2.76;CA;American Indian and Alaska Native;1876
Round Rock;Texas;34.9;56646;59193;115839;6804;18237;3.13;TX;White;92278
